NOMBRE                              TIPO DE DATO     VALOR                               LONGITUD                           
a                                   Integer                                              0                                  
var1                                Integer                                              0                                  
c                                   Float                                                0                                  
d                                   Float                                                0                                  
base                                Float                                                0                                  
b                                   String                                               0                                  
e                                   String                                               0                                  
2                                   const_Integer    2                                   0                                  
4                                   const_Integer    4                                   0                                  
5                                   const_Integer    5                                   0                                  
7                                   const_Integer    7                                   0                                  
34                                  const_Integer    34                                  0                                  
"sdADaSjfladfg"                     const_String     sdADaSjfladfg                       13                                 
"sjf"                               const_String     sjf                                 3                                  
99.99                               const_Float      99.99                               0                                  
99.                                 const_Float      99.                                 0                                  
.9999                               const_Float      .9999                               0                                  
35                                  const_Integer    35                                  0                                  
"Hola mundo"                        const_String     Hola_mundo                          10                                 
"correcto"                          const_String     correcto                            8                                  
